ID|Posicion|Rol|Sociedad|DescSociedad|Division|DescDivision
17|ADMINISTRADOR EXPANSION|Z_ACCESO_DOCU_JST|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
18|ADMINISTRADOR EXPANSION|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
19|ADMINISTRADOR EXPANSION|Z_COMUN|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
20|ADMINISTRADOR EXPANSION|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
21|ADMINISTRADOR EXPANSION|Z_ACCESO_DOCU_JST|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
22|ADMINISTRADOR EXPANSION|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
23|ADMINISTRADOR EXPANSION|Z_COMUN|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
24|ADMINISTRADOR EXPANSION|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
25|ADMINISTRADOR EXPANSION|Z_VENTAS_ACUM_POR_PROD|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
26|ADMINISTRADOR EXPANSION|Z_ACT_CONS_ART|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
27|ADMINISTRADOR EXPANSION|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
28|ADMINISTRADOR EXPANSION|Z_COMUN|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
29|ADMINISTRADOR EXPANSION|Z_EXCEDENTES_SUC|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
30|ADMINISTRADOR EXPANSION|Z_VENTAS_ACUM_POR_PROD|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
31|ADMINISTRADOR EXPANSION|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
32|ADMINISTRADOR MANTENIMIENTO|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
33|ADMINISTRADOR MANTENIMIENTO|Z_COMUN|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
34|ADMINISTRADOR MANTENIMIENTO|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
35|ADMINISTRADOR MANTENIMIENTO|Z_ACCESO_DOCU_JST|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
36|ADMINISTRADOR PERSONAL|Z_ADM_VISUALIZAR_CCF|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
37|ADMINISTRADOR PERSONAL|Z_ADM_REC_HUM|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
38|ADMINISTRADOR PERSONAL|Z_POSICIONES_EMPLEADOS|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
39|ADMINISTRADOR PERSONAL|Z_ADM_PERSONAL1|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
40|ADMINISTRADOR PERSONAL|Z_ADM_VISUALIZAR_CCF1|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
41|ADMINISTRADOR PERSONAL|Z_COMUN|01|FARMACON, S.A. DE C.V|K001|Farm Coatzacoalcos
42|ADMINISTRADOR PERSONAL|Z_ADM_PERSONAL|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
43|ADMINISTRADOR PERSONAL|Z_ADM_REC_HUM|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
44|ADMINISTRADOR PERSONAL|Z_COMUN|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
45|ADMINISTRADOR PERSONAL|Z_ADM_VISUALIZAR_CCF|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
46|ADMINISTRADOR PERSONAL|Z_ADM_REC_HUM|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
47|ADMINISTRADOR PERSONAL|Z_POSICIONES_EMPLEADOS|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
48|ADMINISTRADOR PERSONAL|Z_SALDOS_DEUDORES|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
49|ADMINISTRADOR PERSONAL|Z_ADM_REC_HUM|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
50|ADMINISTRADOR PERSONAL|Z_COMUN|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
51|ADMINISTRADOR PERSONAL|Z_ADM_VISUALIZAR_CCF|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
52|ADMINISTRADOR PERSONAL|Z_ADM_REC_HUM|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
53|ADMINISTRADOR PERSONAL|Z_POSICIONES_EMPLEADOS|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
54|ADMINISTRAFOR COMPRAS NO FARMA|Z_ABASTO|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
55|ADMINISTRAFOR COMPRAS NO FARMA|Z_ABASTO_1|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
56|ADMINISTRAFOR COMPRAS NO FARMA|Z_BC_JOBS|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
57|ADMINISTRAFOR COMPRAS NO FARMA|Z_COMPRAS|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
58|ADMINISTRAFOR COMPRAS NO FARMA|Z_COMPRAS_1|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
59|ADMINISTRAFOR COMPRAS NO FARMA|Z_COMPRAS_MODIF|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
60|ADMINISTRAFOR COMPRAS NO FARMA|Z_COMUN|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
61|ADMINISTRAFOR COMPRAS NO FARMA|Z_DISTRIBUCION|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
62|ADMINISTRAFOR COMPRAS NO FARMA|Z_EXTRACTO_COMPRAS|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
63|ADMINISTRAFOR COMPRAS NO FARMA|Z_LLENADO_CANAL|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
64|ADMINISTRAFOR COMPRAS NO FARMA|Z_MASS|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
65|ADMINISTRAFOR COMPRAS NO FARMA|Z_PRONOSTICO_Y_LOG|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
66|ADMINISTRAFOR COMPRAS NO FARMA|Z_PRONOSTICO_Y_LOG_COMP1|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
67|ADMINISTRAFOR COMPRAS NO FARMA|Z_REP_COSTOS_ART|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
68|ADMINISTRAFOR COMPRAS NO FARMA|Z_SUM_COMPRAS_AUT|01|FARMACON, S.A. DE C.V|K043|STFE FARMACON NACIONAL
69|ADMINISTRATIVO FARMACIAS|Z_ACCESO_DOCU_JST            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
70|ADMINISTRATIVO FARMACIAS|Z_ADM_PROY_PS_IND            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
71|ADMINISTRATIVO FARMACIAS|Z_ADM_PROY_PS_MM_IND         |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
72|ADMINISTRATIVO FARMACIAS|Z_COMPRAS_MM_IND             |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
73|ADMINISTRATIVO FARMACIAS|Z_COMPRAS_MM_IND_COM1        |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
74|ADMINISTRATIVO FARMACIAS|Z_COMUN                      |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
75|ADMINISTRATIVO FARMACIAS|Z_DATOS_MAESTROS_MM_IND      |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
76|ADMINISTRATIVO FARMACIAS|Z_RECEPCION_MM               |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
77|ADMINISTRATIVO FARMACIAS|Z_REPORTES_MM_IND            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
78|ADMINISTRATIVO FARMACIAS|Z_SOLICITUDES_MM_IND         |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
79|ADMINISTRATIVO FARMACIAS|Z_SOLICITUDES_MM_IND_COM1    |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
80|ADMINISTRATIVO FARMACIAS|Z_WORKFLOW_AUTOMATICO        |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
81|ADMINISTRATIVO FARMACIAS|SAP_UI2_USER_700             |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
82|ADMINISTRATIVO FARMACIAS|Z_ACCESO_DOCU_JST            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
83|ADMINISTRATIVO FARMACIAS|Z_ACC_APLIC_FIORI            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
84|ADMINISTRATIVO FARMACIAS|Z_ACC_APLIC_FIORI_COM1       |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
85|ADMINISTRATIVO FARMACIAS|Z_ADM_PROY_PS_APR_IND        |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
86|ADMINISTRATIVO FARMACIAS|Z_ADM_PROY_PS_IND            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
87|ADMINISTRATIVO FARMACIAS|Z_ADM_PROY_PS_MAE_IND        |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
88|ADMINISTRATIVO FARMACIAS|Z_ADM_PROY_PS_MM_IND         |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
89|ADMINISTRATIVO FARMACIAS|Z_ANALISIS_PROY_PS_CO_IND    |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
90|ADMINISTRATIVO FARMACIAS|Z_ANALISIS_PROY_PS_CO_IND_COM1|01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
91|ADMINISTRATIVO FARMACIAS|Z_COMPRAS_MM_IND             |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
92|ADMINISTRATIVO FARMACIAS|Z_COMPRAS_MM_IND_COM1        |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
93|ADMINISTRATIVO FARMACIAS|Z_COMUN                      |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
94|ADMINISTRATIVO FARMACIAS|Z_DATOS_MAESTROS_MM_IND      |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
95|ADMINISTRATIVO FARMACIAS|Z_RECEPCION_MM               |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
96|ADMINISTRATIVO FARMACIAS|Z_REPORTES_MM_IND            |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
97|ADMINISTRATIVO FARMACIAS|Z_SOLICITUDES_MM_IND         |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
98|ADMINISTRATIVO FARMACIAS|Z_SOLICITUDES_MM_IND_COM1    |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
99|ADMINISTRATIVO FARMACIAS|Z_WORKFLOW_AUTOMATICO        |01|FARMACON, S.A. DE C.V|K044|STFG FARMACON NACIONAL
100|AGENTE CALL CENTER|Z_ADM_TL_EGRESOS|306|Centro de Servic. Compart|D006|CSC Monterrey
101|AGENTE CALL CENTER|Z_BC_JOBS|306|Centro de Servic. Compart|D006|CSC Monterrey
102|AGENTE CALL CENTER|Z_COMUN|306|Centro de Servic. Compart|D006|CSC Monterrey
103|AGENTE CALL CENTER|Z_ADM_TL_EGRESOS|306|Centro de Servic. Compart|D135|CSC Monterrey
104|AGENTE CALL CENTER|Z_BC_JOBS|306|Centro de Servic. Compart|D135|CSC Monterrey
105|AGENTE CALL CENTER|Z_COMUN|306|Centro de Servic. Compart|D135|CSC Monterrey
106|ANALISTA|Z_COMUN|306|Centro de Servic. Compart|D007|CSC Mexico Q
107|ANALISTA|Z_GEST_COBRANZA|306|Centro de Servic. Compart|D007|CSC Mexico Q
108|ANALISTA|Z_ADMINISTRATIVO_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
109|ANALISTA|Z_ADMVO_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
110|ANALISTA|Z_ADMVO_VX_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
111|ANALISTA|Z_ADM_SELLOUT|306|Centro de Servic. Compart|D006|CSC Monterrey
112|ANALISTA|Z_APERTURAS_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
113|ANALISTA|Z_BC_JOBS|306|Centro de Servic. Compart|D006|CSC Monterrey
114|ANALISTA|Z_COMUN|306|Centro de Servic. Compart|D006|CSC Monterrey
115|ANALISTA|Z_FIRMANTES_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
116|ANALISTA|Z_CONCILIACION_SERVICIOS_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
117|ANALISTA|Z_OPE_CLIENTES|306|Centro de Servic. Compart|D006|CSC Monterrey
118|ANALISTA|Z_OPE_CLIENTES_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
119|ANALISTA|Z_OPE_CLIENTES_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
120|ANALISTA|Z_OPE_CLIENTES_COMP3|306|Centro de Servic. Compart|D006|CSC Monterrey
121|ANALISTA|Z_OPE_CLIENTES_COMP4|306|Centro de Servic. Compart|D006|CSC Monterrey
122|ANALISTA|Z_INF_SURTIDO|306|Centro de Servic. Compart|D006|CSC Monterrey
123|ANALISTA|Z_GEST_COBRANZA|306|Centro de Servic. Compart|D006|CSC Monterrey
124|ANALISTA|Z_ADMVO_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
125|ANALISTA|Z_ADMVO_VX_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
126|ANALISTA|Z_APERTURAS_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
127|ANALISTA|Z_APERTURAS_VX_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
128|ANALISTA|Z_FIRMANTES_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
129|ANALISTA|Z_CONSULTA_VX|306|Centro de Servic. Compart|D006|CSC Monterrey
130|ANALISTA|Z_ADMINISTRATIVO_VX|306|Centro de Servic. Compart|D135|CSC Monterrey
131|ANALISTA|Z_ADMVO_VX|306|Centro de Servic. Compart|D135|CSC Monterrey
132|ANALISTA|Z_ADMVO_VX_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
133|ANALISTA|Z_ADM_SELLOUT|306|Centro de Servic. Compart|D135|CSC Monterrey
134|ANALISTA|Z_APERTURAS_VX|306|Centro de Servic. Compart|D135|CSC Monterrey
135|ANALISTA|Z_BC_JOBS|306|Centro de Servic. Compart|D135|CSC Monterrey
136|ANALISTA|Z_COMUN|306|Centro de Servic. Compart|D135|CSC Monterrey
137|ANALISTA|Z_FIRMANTES_VX|306|Centro de Servic. Compart|D135|CSC Monterrey
138|ANALISTA|Z_CONCILIACION_SERVICIOS_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
139|ANALISTA|Z_OPE_CLIENTES|306|Centro de Servic. Compart|D135|CSC Monterrey
140|ANALISTA|Z_OPE_CLIENTES_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
141|ANALISTA|Z_OPE_CLIENTES_COMP2|306|Centro de Servic. Compart|D135|CSC Monterrey
142|ANALISTA|Z_OPE_CLIENTES_COMP3|306|Centro de Servic. Compart|D135|CSC Monterrey
143|ANALISTA|Z_OPE_CLIENTES_COMP4|306|Centro de Servic. Compart|D135|CSC Monterrey
144|ANALISTA|Z_INF_SURTIDO|306|Centro de Servic. Compart|D135|CSC Monterrey
145|ANALISTA|Z_GEST_COBRANZA|306|Centro de Servic. Compart|D135|CSC Monterrey
146|ANALISTA|Z_APERTURAS_VX_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
147|ANALISTA|Z_CONSULTA_VX|306|Centro de Servic. Compart|D135|CSC Monterrey
148|ANALISTA|Z_ADM_ANALISTA_CONTABLE|306|Centro de Servic. Compart|D006|CSC Monterrey
149|ANALISTA|Z_ADM_ANALISTA_CONTABLE_C3_LIM|306|Centro de Servic. Compart|D006|CSC Monterrey
150|ANALISTA|Z_ADM_ANALISTA_CONTABLE_COMP|306|Centro de Servic. Compart|D006|CSC Monterrey
151|ANALISTA|Z_ADM_ANALISTA_CONTABLE_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
152|ANALISTA|Z_ADM_ANALISTA_CONTABLE_COMP3|306|Centro de Servic. Compart|D006|CSC Monterrey
153|ANALISTA|Z_ADM_ANALISTA_EGRESOS|306|Centro de Servic. Compart|D006|CSC Monterrey
154|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP|306|Centro de Servic. Compart|D006|CSC Monterrey
155|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
156|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
157|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP4|306|Centro de Servic. Compart|D006|CSC Monterrey
158|ANALISTA|Z_ADM_OPERADOR_PROV|306|Centro de Servic. Compart|D006|CSC Monterrey
159|ANALISTA|Z_ADM_OPERADOR_PROV_COMP|306|Centro de Servic. Compart|D006|CSC Monterrey
160|ANALISTA|Z_ADM_OPERADOR_PROV_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
161|ANALISTA|Z_ADM_PRORRATEO|306|Centro de Servic. Compart|D006|CSC Monterrey
162|ANALISTA|Z_ADM_SELLOUT|306|Centro de Servic. Compart|D006|CSC Monterrey
163|ANALISTA|Z_ADM_TL_EGRESOS|306|Centro de Servic. Compart|D006|CSC Monterrey
164|ANALISTA|Z_ADM_TL_EGRESOS_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
165|ANALISTA|Z_ANALISTA_ACTIVO_FIJO_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
166|ANALISTA|Z_ANALISTA_ACTIVO_FIJO_LIM|306|Centro de Servic. Compart|D006|CSC Monterrey
167|ANALISTA|Z_ANALISTA_ADMON_COM|306|Centro de Servic. Compart|D006|CSC Monterrey
168|ANALISTA|Z_ANALISTA_CCM|306|Centro de Servic. Compart|D006|CSC Monterrey
169|ANALISTA|Z_ANULACION_FACTURA|306|Centro de Servic. Compart|D006|CSC Monterrey
170|ANALISTA|Z_ANULAR_DOC|306|Centro de Servic. Compart|D006|CSC Monterrey
171|ANALISTA|Z_AUX_CORTES_REPOSICIONES|306|Centro de Servic. Compart|D006|CSC Monterrey
172|ANALISTA|Z_AUX_CORTES_REPOSICIONES_1|306|Centro de Servic. Compart|D006|CSC Monterrey
173|ANALISTA|Z_BC_JOBS|306|Centro de Servic. Compart|D006|CSC Monterrey
174|ANALISTA|Z_COMPENS_AUT|306|Centro de Servic. Compart|D006|CSC Monterrey
175|ANALISTA|Z_COMUN|306|Centro de Servic. Compart|D006|CSC Monterrey
176|ANALISTA|Z_CONCILIACION_SERVICIOS|306|Centro de Servic. Compart|D006|CSC Monterrey
177|ANALISTA|Z_CONF_CORREO_SELLOUT|306|Centro de Servic. Compart|D006|CSC Monterrey
178|ANALISTA|Z_CONTADOR_GENERAL|306|Centro de Servic. Compart|D006|CSC Monterrey
179|ANALISTA|Z_CONTADOR_GENERAL_1|306|Centro de Servic. Compart|D006|CSC Monterrey
180|ANALISTA|Z_COORD_PAGOS|306|Centro de Servic. Compart|D006|CSC Monterrey
181|ANALISTA|Z_COORD_PAGOS_1|306|Centro de Servic. Compart|D006|CSC Monterrey
182|ANALISTA|Z_CTA_MAYOR_Y_DEUDORES|306|Centro de Servic. Compart|D006|CSC Monterrey
183|ANALISTA|Z_EJEC_CATEG_OS|306|Centro de Servic. Compart|D006|CSC Monterrey
184|ANALISTA|Z_ENC_CAPTURA|306|Centro de Servic. Compart|D006|CSC Monterrey
185|ANALISTA|Z_ENC_CAPTURA_1|306|Centro de Servic. Compart|D006|CSC Monterrey
186|ANALISTA|Z_ENTRADA_FACTURA|306|Centro de Servic. Compart|D006|CSC Monterrey
187|ANALISTA|Z_MODULO_PS_GEN_SI|306|Centro de Servic. Compart|D006|CSC Monterrey
188|ANALISTA|Z_MODULO_PS_GEN_SI_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
189|ANALISTA|Z_MODULO_PS_GEN_SI_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
190|ANALISTA|Z_MODULO_PS_GEN_SI_COMP3_LIM|306|Centro de Servic. Compart|D006|CSC Monterrey
191|ANALISTA|Z_MODULO_PS_GEN_SI_COMP4|306|Centro de Servic. Compart|D006|CSC Monterrey
192|ANALISTA|Z_OPE_CLIENTES_2|306|Centro de Servic. Compart|D006|CSC Monterrey
193|ANALISTA|Z_OPE_CLIENTES_2_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
194|ANALISTA|Z_OPE_CLIENTES_2_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
195|ANALISTA|Z_OPE_CLIENTES_2_COMP3|306|Centro de Servic. Compart|D006|CSC Monterrey
196|ANALISTA|Z_OPE_CLIENTES_2_COMP4|306|Centro de Servic. Compart|D006|CSC Monterrey
197|ANALISTA|Z_OPE_CLIENTES_2_COMP5|306|Centro de Servic. Compart|D006|CSC Monterrey
198|ANALISTA|Z_PAGO_IMPRESION|306|Centro de Servic. Compart|D006|CSC Monterrey
199|ANALISTA|Z_PAGO_IMPRESION_COMP1|306|Centro de Servic. Compart|D006|CSC Monterrey
200|ANALISTA|Z_PAGO_IMPRESION_COMP2|306|Centro de Servic. Compart|D006|CSC Monterrey
201|ANALISTA|Z_PAGO_IMPRESION_COMP3|306|Centro de Servic. Compart|D006|CSC Monterrey
202|ANALISTA|Z_PARTIDA_IND_ACREEDOR|306|Centro de Servic. Compart|D006|CSC Monterrey
203|ANALISTA|Z_REPCOSTO|306|Centro de Servic. Compart|D006|CSC Monterrey
204|ANALISTA|Z_SCRIPTING|306|Centro de Servic. Compart|D006|CSC Monterrey
205|ANALISTA|Z_PAGO_SERVICIO|306|Centro de Servic. Compart|D006|CSC Monterrey
206|ANALISTA|Z_ADM_ANALISTA_CONTABLE|306|Centro de Servic. Compart|D135|CSC Monterrey
207|ANALISTA|Z_ADM_ANALISTA_CONTABLE_C3_LIM|306|Centro de Servic. Compart|D135|CSC Monterrey
208|ANALISTA|Z_ADM_ANALISTA_CONTABLE_COMP|306|Centro de Servic. Compart|D135|CSC Monterrey
209|ANALISTA|Z_ADM_ANALISTA_CONTABLE_COMP2|306|Centro de Servic. Compart|D135|CSC Monterrey
210|ANALISTA|Z_ADM_ANALISTA_CONTABLE_COMP3|306|Centro de Servic. Compart|D135|CSC Monterrey
211|ANALISTA|Z_ADM_ANALISTA_EGRESOS|306|Centro de Servic. Compart|D135|CSC Monterrey
212|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP|306|Centro de Servic. Compart|D135|CSC Monterrey
213|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
214|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP2|306|Centro de Servic. Compart|D135|CSC Monterrey
215|ANALISTA|Z_ADM_ANALISTA_EGRESOS_COMP4|306|Centro de Servic. Compart|D135|CSC Monterrey
216|ANALISTA|Z_ADM_OPERADOR_PROV|306|Centro de Servic. Compart|D135|CSC Monterrey
217|ANALISTA|Z_ADM_OPERADOR_PROV_COMP|306|Centro de Servic. Compart|D135|CSC Monterrey
218|ANALISTA|Z_ADM_OPERADOR_PROV_COMP2|306|Centro de Servic. Compart|D135|CSC Monterrey
219|ANALISTA|Z_ADM_PRORRATEO|306|Centro de Servic. Compart|D135|CSC Monterrey
220|ANALISTA|Z_ADM_SELLOUT|306|Centro de Servic. Compart|D135|CSC Monterrey
221|ANALISTA|Z_ADM_TL_EGRESOS|306|Centro de Servic. Compart|D135|CSC Monterrey
222|ANALISTA|Z_ADM_TL_EGRESOS_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
223|ANALISTA|Z_ANALISTA_ACTIVO_FIJO_COMP1|306|Centro de Servic. Compart|D135|CSC Monterrey
224|ANALISTA|Z_ANALISTA_ACTIVO_FIJO_LIM|306|Centro de Servic. Compart|D135|CSC Monterrey
225|ANALISTA|Z_ANALISTA_ADMON_COM|306|Centro de Servic. Compart|D135|CSC Monterrey
226|ANALISTA|Z_ANALISTA_CCM|306|Centro de Servic. Compart|D135|CSC Monterrey
227|ANALISTA|Z_ANULACION_FACTURA|306|Centro de Servic. Compart|D135|CSC Monterrey
228|ANALISTA|Z_ANULAR_DOC|306|Centro de Servic. Compart|D135|CSC Monterrey
